D,V
2777.222,59.955
2782.228,63.292
2787.234,63.292
2792.240,54.393
2797.247,58.843
2802.253,61.067
2807.259,63.292
2812.265,62.180
2817.272,58.843
2822.278,65.517
2827.284,61.067
2832.290,54.393
2837.297,51.056
2842.303,51.056
2847.309,52.169
2852.315,56.618
2857.322,54.393
2862.328,46.607
2867.334,53.281
2872.340,55.506
2877.347,51.056
2882.353,52.169
2887.359,54.393
2892.365,52.169
2897.372,48.831
2902.378,44.382
2907.384,41.045
2912.390,36.596
2917.397,37.708
2922.403,36.596
2927.409,34.371
2932.416,43.270
2937.422,49.944
2942.428,53.281
2947.434,54.393
2952.441,54.393
2957.447,49.944
2962.453,46.607
2967.459,44.382
2972.466,42.157
2977.472,48.831
2982.478,57.730
2987.484,47.719
2992.491,46.607
2997.497,56.618
3002.503,66.629
3007.509,67.742
3012.516,64.404
3017.522,64.404
3022.528,63.292
3027.534,63.292
3032.541,66.629
3037.547,63.292
3042.553,59.955
3047.559,57.730
3052.566,55.506
3057.572,59.955
3062.578,63.292
3067.584,63.292
3072.591,64.404
3077.597,59.955
3082.603,59.955
3087.610,66.629
3092.616,72.191
3097.622,69.966
3102.628,61.067
3107.635,51.056
3112.641,56.618
3117.647,62.180
3122.653,56.618
3127.660,53.281
3132.666,64.404
3137.672,75.528
3142.678,75.528
3147.685,65.517
3152.691,64.404
3157.697,68.854
3162.703,68.854
3167.710,68.854
3172.716,72.191
3177.722,72.191
3182.728,69.966
3187.735,67.742
3192.741,68.854
3197.747,74.416
3202.753,76.640
3207.760,71.079
3212.766,71.079
3217.772,75.528
3222.778,68.854
3227.785,58.843
3232.791,57.730
3237.797,69.966
3242.804,73.303
3247.810,59.955
3252.816,43.270
3257.822,33.258
3262.829,38.820
3267.835,43.270
3272.841,42.157
3277.847,32.146
3282.854,25.472
3287.860,21.022
3292.866,24.360
3297.872,17.685
3302.879,14.348
3307.885,25.472
3312.891,29.921
3317.897,34.371
3322.904,38.820
3327.910,41.045
3332.916,34.371
3337.922,27.697
3342.929,28.809
3347.935,36.596
3352.941,45.494
3357.947,49.944
3362.954,51.056
3367.960,51.056
3372.966,42.157
3377.972,35.483
3382.979,39.933
3387.985,49.944
3392.991,51.056
3397.997,46.607
3403.004,44.382
3408.010,54.393
3413.016,56.618
3418.023,49.944
3423.029,37.708
3428.035,43.270
3433.041,44.382
3438.048,43.270
3443.054,39.933
3448.060,51.056
3453.066,53.281
3458.073,51.056
3463.079,52.169
3468.085,56.618
3473.091,45.494
3478.098,31.034
3483.104,29.921
3488.110,31.034
3493.116,24.360
3498.123,28.809
3503.129,36.596
3508.135,42.157
3513.141,44.382
3518.148,42.157
3523.154,39.933
3528.160,36.596
3533.166,42.157
3538.173,48.831
3543.179,45.494
3548.185,39.933
3553.191,38.820
3558.198,44.382
3563.204,45.494
3568.210,37.708
3573.217,31.034
3578.223,32.146
3583.229,37.708
3588.235,32.146
3593.242,31.034
3598.248,35.483
3603.254,42.157
3608.260,44.382
3613.267,41.045
3618.273,39.933
3623.279,39.933
3628.285,43.270
3633.292,48.831
3638.298,51.056
3643.304,54.393
3648.310,57.730
3653.317,55.506
3658.323,55.506
3663.329,51.056
3668.335,47.719
3673.342,51.056
3678.348,49.944
3683.354,42.157
3688.360,37.708
3693.367,33.258
3698.373,32.146
3703.379,37.708
3708.385,35.483
3713.392,37.708
3718.398,38.820
3723.404,44.382
3728.411,47.719
3733.417,46.607
3738.423,49.944
3743.429,46.607
3748.436,46.607
3753.442,47.719
3758.448,46.607
3763.454,46.607
3768.461,48.831
3773.467,44.382
3778.473,41.045
3783.479,43.270
3788.486,47.719
3793.492,51.056
3798.498,51.056
3803.504,58.843
3808.511,53.281
3813.517,51.056
3818.523,48.831
3823.529,44.382
3828.536,47.719
3833.542,47.719
3838.548,55.506
3843.554,52.169
3848.561,57.730
3853.567,36.596
3858.573,23.247
3863.579,29.921
3868.586,43.270
3873.592,47.719
3878.598,41.045
3883.605,31.034
3888.611,23.247
3893.617,24.360
3898.623,31.034
3903.630,36.596
3908.636,32.146
3913.642,23.247
3918.648,28.809
3923.655,43.270
3928.661,56.618
3933.667,64.404
3938.673,67.742
3943.680,67.742
3948.686,63.292
3953.692,55.506
3958.698,52.169
3963.705,59.955
3968.711,66.629
3973.717,66.629
3978.723,58.843
3983.730,55.506
3988.736,62.180
3993.742,69.966
3998.748,67.742
4003.755,53.281
4008.761,36.596
4013.767,26.584
4018.773,24.360
4023.780,22.135
4028.786,27.697
4033.792,32.146
4038.798,38.820
4043.805,36.596
4048.811,34.371
4053.817,35.483
4058.824,38.820
4063.830,32.146
4068.836,28.809
4073.842,16.573
4078.849,4.337
4083.855,1.000
4088.861,2.112
4093.867,3.225
4098.874,5.449
4103.880,7.674
4108.886,19.910
4113.892,28.809
4118.899,38.820
4123.905,45.494
4128.911,46.607
4133.917,45.494
4138.924,46.607
4143.930,51.056
4148.936,51.056
4153.942,51.056
4158.949,53.281
4163.955,56.618
4168.961,54.393
4173.967,47.719
4178.974,45.494
4183.980,46.607
4188.986,56.618
4193.992,64.404
4198.999,66.629
4204.005,54.393
4209.011,37.708
4214.018,29.921
4219.024,39.933
4224.030,54.393
4229.036,56.618
4234.043,57.730
4239.049,63.292
4244.055,53.281
4249.061,65.517
4254.068,58.843
4259.074,54.393
4264.080,55.506
4269.086,46.607
4274.093,36.596
4279.099,32.146
4284.105,33.258
4289.111,31.034
4294.118,25.472
4299.124,27.697
4304.130,36.596
4309.136,41.045
4314.143,44.382
4319.149,42.157
4324.155,35.483
4329.161,27.697
4334.168,33.258
4339.174,44.382
4344.180,48.831
4349.186,37.708
4354.193,33.258
4359.199,35.483
4364.205,37.708
4369.212,43.270
4374.218,49.944
4379.224,53.281
4384.230,37.708
4389.237,36.596
4394.243,37.708
4399.249,35.483
4404.255,35.483
4409.262,37.708
4414.268,43.270
4419.274,46.607
4424.280,45.494
4429.287,46.607
4434.293,44.382
4439.299,45.494
4444.305,48.831
4449.312,49.944
4454.318,48.831
4459.324,52.169
4464.330,57.730
4469.337,56.618
4474.343,51.056
